"Nama","Harga","Diskon","Peringkat"
"LAPTOP ASUS A412FL - i7 8565U 8G SSD 512GB MX250 2GB 14"" FHD W10 RESMI","Rp 11.499.000","12%Rp 12.999.000","(25)"
"LAPTOP ASUS K403FA - i3 8145U 4GB SSD 512GB INTEL HD 14"" FHD W10 RESMI","Rp 7.599.000","11%Rp 8.499.000","(32)"
"ACER SWIFT 3 AIR SF313-51 - I3-8130U DDR4 4GB SSD 256GB 13.3"" FHD W10","Rp 6.949.000","3%Rp 7.199.000","(20)"
"ACER SWIFT 3 SF313-51 i5 8250U 8GB 256GB SSD 13.3"" FHD WIN10 RESMI","Rp 7.999.000","7%Rp 8.599.000","(29)"
"LAPTOP LENOVO IDEAPAD S145-14API Athlon 300U 8GB 512GB-SSD Vega3 W 10","Rp 5.425.000","6%Rp 5.800.000","(6)"
"LAPTOP LENOVO IP330-14IGM 5BID - N4000 4GB 1TB DVD WIN 10 14"" BLACK","Rp 3.475.000","6%Rp 3.699.000","(7)"
"ASUS A407MA SLIM 1TB HDD ( N4000, 4GB,14.0"",WINDOWS 10) NERROW BEZEL","Rp 3.675.000","8%Rp 3.999.000","(12)"
"HP Pavilion Gaming15 ec0001AX | Ryzen5 3550H 8GB 512SSD GTX1050 3GB","Rp 9.450.000","5%Rp 9.999.000","(4)"
"Lenovo Yoga C340 - 7GID i7-10510U NVIDIA GeForce MX230 - 16GB - 1TB","Rp 14.999.000","4%Rp 15.599.000","(6)"
"ASUS X441BA - AMD A9 9425 4GB 1TB VGA AMD R5 14"" WIN 10 ORIGINAL RESMI","Rp 4.699.000","6%Rp 4.999.000","(45)"
"Acer Aspire 3 A314-32-C3X0 Notebook - Black","Rp 3.699.000","4%Rp 3.849.000","(15)"
"HP Pavilion 13-an1036tu Core i7-1065G7 - 8 GB - 512 GB SSD - Win 10","Rp 13.988.000","2%Rp 14.299.000","(2)"
"Lenovo Ideapad 330-B9ID Onyx Black","Rp 3.859.000","2%Rp 3.949.000","(4)"
"HP ENVY - 13-aq1018tx silver","Rp 19.599.000","3%Rp 20.299.000","(2)"
"HP 14s-dk0076au Gold","Rp 8.299.000","2%Rp 8.449.000","(1)"
"HP ENVY - 13-aq1017tx Gold","Rp 19.599.000","3%Rp 20.299.000","(1)"
